Country,Happiness Score,Region,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI of household income reported in Gallup, by wp5-year"
Portugal,5.693,Western Europe,2019,5.69265302,10.23596509,0.897244493,72.19999949,0.873513063,-0.22246696600000002,0.894296924,0.67060715,0.312840015,0.458753735,1.104476392,1.0405520209999999,0.43817393
Pakistan,5.653,South Asia,2019,5.616977532000001,8.5246617,0.667414784,58.09999974,0.706469675,0.054504736,0.768433313,0.600367168,0.33888794,0.534168939,-1.569511235,-0.705027372,0.37221278700000004
Russia,5.648,Commonwealth of Independent States,2019,5.649062952,10.11754481,0.905268252,63.90000153,0.724587579,-0.167361329,0.884121498,0.673291723,0.178618019,0.53224659,-0.961355686,-0.558452785,0.37957859
Philippines,5.631,Southeast Asia,2019,5.631425222000001,8.93597889,0.839376847,61.80000051,0.917035679,-0.111845021,0.743203699,0.7875990070000001,0.34144509799999995,0.803787967,-0.59305352,-0.22559973600000002,0.5037688810000001
Serbia,5.603,Central and Eastern Europe,2019,5.6037597660000005,9.553925514,0.8772035640000001,67.80000051,0.679702997,-0.08121689900000001,0.8683155379999999,0.534496367,0.306943178,0.479155361,0.139315653,-0.088071458,0.357131541
Moldova,5.529,Commonwealth of Independent States,2019,5.528530598,8.552235286,0.85338976,64.30000051,0.64467301,-0.012200677,0.941512207,0.594768186,0.268033792,0.151474245,-0.148587159,-0.491603255,0.402241568
Libya,5.525,Middle East and North Africa,2019,5.524804433,9.679714203,0.840996603,62.29999924,0.7938797470000001,-0.08772901300000001,0.65945217,0.706789931,0.387117008,,-1.8704857819999998,-1.8712368609999999,0.554511567
Montenegro,5.523,Central and Eastern Europe,2019,5.523018201,9.700776418,0.8676410520000001,68.30000051,0.606990417,-0.072513912,0.7911897109999999,0.566828827,0.347131938,0.35866943,0.12230165300000001,0.076145347,0.371942172
Tajikistan,5.4670000000000005,Commonwealth of Independent States,2019,5.466477632999999,7.9476614,0.759675146,63.64999962,0.7675146759999999,0.064988475,0.675112367,0.6235761639999999,0.248762504,0.887340397,-1.214950502,-1.1606853609999999,0.35213945799999996
Croatia,5.432,Central and Eastern Europe,2019,5.43210411,10.02806727,0.826149563,69.59999847,0.6928828159999999,-0.10825326099999999,0.9003426040000001,0.617011607,0.314468493,0.25419085199999997,0.611212283,0.373859182,0.339529177
"Hong Kong SAR, China",5.43,East Asia,2019,5.430447817,10.91922188,0.831572115,75.9304123,0.8152003290000001,0.109111175,0.409311384,0.65181312,0.206854001,0.497325555,0.6005353929999999,1.8349419830000002,0.49225367600000003
Dominican Republic,5.425,Latin America and Caribbean,2019,5.425705592000001,9.590398788,0.883702636,65.5,0.864904344,-0.11875037599999999,0.7533153890000001,0.747920354,0.281414558,0.47703239299999994,0.187613487,-0.381569744,0.495029469
Bosnia and Herzegovina,5.386,Central and Eastern Europe,2019,5.386056264,9.36904494,0.806296647,67.5,0.61869961,0.11730203300000001,0.93117094,0.627015174,0.284063618,0.197555125,-0.27981241100000004,-0.32405751899999996,0.423588236
Turkey,5.372999999999999,Middle East and North Africa,2019,5.373057842000001,10.11877314,0.8678299190000001,66.40000153,0.605736673,-0.165057607,0.746498545,0.44986861899999997,0.351194054,0.561188857,-1.280495584,-0.06230687,0.34236718200000005
Malaysia,5.3389999999999995,Southeast Asia,2019,5.338817596,10.23550415,0.789408565,67.0,0.874548256,0.112881355,0.894131124,0.824454665,0.200366735,0.7323983909999999,-0.06949313900000001,0.6449122429999999,0.44476220000000005
Belarus,5.3229999999999995,Commonwealth of Independent States,2019,5.321528117,9.752358755,0.910458724,65.80000051,0.6409368120000001,-0.14807499,0.678874691,0.515036275,0.21686760600000002,0.44062133600000003,-0.63151905,-0.569777281,0.297708452
Greece,5.287000000000001,Western Europe,2019,5.286716779,10.11203702,0.7830020590000001,72.19999949,0.494790852,-0.296348552,0.8770042259999999,0.656380813,0.308014949,0.14313870199999998,0.282453388,0.11105484800000001,0.326682945
Mongolia,5.285,East Asia,2019,5.28515768,9.37765185,0.937751432,62.09999975,0.7099717259999999,0.073796932,0.8713021879999999,0.6744619209999999,0.19222052399999998,0.298270851,0.559461593,-0.251634702,0.38003846
Macedonia,5.274,Central and Eastern Europe,2019,5.273149172,9.488742192,0.840027511,67.30000051,0.734362284,-0.006146915,0.878450215,0.577111721,0.29667937699999997,0.36533739200000004,-0.24416223899999998,0.009032568000000001,0.411974172
Nigeria,5.265,Sub-Saharan Africa,2019,5.264594713999999,8.586963336,0.759696563,49.30000051,0.8044923740000001,0.041871981,0.8684004940000001,0.754079501,0.248091648,0.47495258799999995,-1.119173646,-0.9800419509999999,0.47253154700000005
Kyrgyzstan,5.261,Commonwealth of Independent States,2019,5.261151314,8.128525097999999,0.898369988,63.79999924,0.872758885,0.176453697,0.899607539,0.7655223409999999,0.163279379,0.528769493,-0.484553963,-0.799548447,0.39097631
